ind	pop	region	lat	long
HandHills_JRD315	1	1	-112.3661	51.53452
HandHills_JRD540	1	1	-112.3661	51.53452
HandHills_JRD541	1	1	-112.3661	51.53452
HandHills_JRD542	1	1	-112.3661	51.53452
HandHills_JRD543	1	1	-112.3661	51.53452
HandHills_JRD544	1	1	-112.3661	51.53452
HandHills_JRD545	1	1	-112.3661	51.53452
HandHills_JRD546	1	1	-112.3661	51.53452
HandHills_JRD547	1	1	-112.3661	51.53452
HandHills_JRD548	1	1	-112.3661	51.53452
WHE_JRD295	3	1	-112.45478	51.25993
WHE_JRD296	3	1	-112.45478	51.25993
WHE_JRD297	3	1	-112.45478	51.25993
WHE_JRD298	3	1	-112.45478	51.25993
WHE_JRD299	3	1	-112.45478	51.25993
WHE_JRD300	3	1	-112.45478	51.25993
WHE_JRD303	3	1	-112.45478	51.25993
WHE_JRD304	3	1	-112.45478	51.25993
WHE_JRD305	3	1	-112.45478	51.25993
WHE_JRD306	3	1	-112.45478	51.25993
WHE_JRD307	3	1	-112.45478	51.25993
WHE_JRD308	3	1	-112.45478	51.25993
WHE_JRD309	3	1	-112.45478	51.25993
WHE_JRD310	3	1	-112.45478	51.25993
WHE_JRD316	3	1	-112.45478	51.25993
WHE_JRD317	3	1	-112.45478	51.25993
WHE_JRD318	3	1	-112.45478	51.25993
WHE_JRD564	3	1	-112.45478	51.25993
WHE_JRD565	3	1	-112.45478	51.25993
WHE_JRD566	3	1	-112.45478	51.25993
WHE_JRD567	3	1	-112.45478	51.25993
WHE_JRD568	3	1	-112.45478	51.25993
WHE_JRD569	3	1	-112.45478	51.25993
WHE_JRD570	3	1	-112.45478	51.25993
WHE_JRD571	3	1	-112.45478	51.25993
WHE_JRD572	3	1	-112.45478	51.25993
WHE_JRD573	3	1	-112.45478	51.25993
WHE_JRD574	3	1	-112.45478	51.25993
WHE_JRD575	3	1	-112.45478	51.25993
WHE_JRD576	3	1	-112.45478	51.25993
WHE_JRD577	3	1	-112.45478	51.25993
WHE_JRD578	3	1	-112.45478	51.25993
WHW_JRD301	4	1	-112.62614	51.2552
WHW_JRD302	4	1	-112.62614	51.2552
WHW_JRD313	4	1	-112.62614	51.2552
WHW_JRD314	4	1	-112.62614	51.2552
WHW_JRD319	4	1	-112.62614	51.2552
WHW_JRD320	4	1	-112.62614	51.2552
WHW_JRD524	4	1	-112.62614	51.2552
WHW_JRD525	4	1	-112.62614	51.2552
WHW_JRD526	4	1	-112.62614	51.2552
WHW_JRD527	4	1	-112.62614	51.2552
WHW_JRD528	4	1	-112.62614	51.2552
WHW_JRD529	4	1	-112.62614	51.2552
WHW_JRD530	4	1	-112.62614	51.2552
WHW_JRD531	4	1	-112.62614	51.2552
WHW_JRD532	4	1	-112.62614	51.2552
WHW_JRD533	4	1	-112.62614	51.2552
WHW_JRD534	4	1	-112.62614	51.2552
WHW_JRD557	4	1	-112.62614	51.2552
WHW_JRD558	4	1	-112.62614	51.2552
WHW_JRD559	4	1	-112.62614	51.2552
WHW_JRD560	4	1	-112.62614	51.2552
WHW_JRD561	4	1	-112.62614	51.2552
WHW_JRD562	4	1	-112.62614	51.2552
WHW_JRD563	4	1	-112.62614	51.2552
Horsethief_JRD249	6	2	-112.92857	51.50378
Horsethief_JRD254	6	2	-112.92857	51.50378
Horsethief_JRD255	6	2	-112.92857	51.50378
Horsethief_JRD256	6	2	-112.92857	51.50378
Horsethief_JRD257	6	2	-112.92857	51.50378
Horsethief_JRD259	6	2	-112.92857	51.50378
Horsethief_JRD263	6	2	-112.92857	51.50378
Horsethief_JRD267	6	2	-112.92857	51.50378
Horsethief_JRD269	6	2	-112.92857	51.50378
Horsethief_JRD275	6	2	-112.92857	51.50378
Horsethief_JRD276	6	2	-112.92857	51.50378
Horsethief_JRD278	6	2	-112.92857	51.50378
Horsethief_JRD490	6	2	-112.92857	51.50378
Horsethief_JRD494	6	2	-112.92857	51.50378
Horsethief_JRD496	6	2	-112.92857	51.50378
Horsethief_JRD501	6	2	-112.92857	51.50378
Horsethief_JRD502	6	2	-112.92857	51.50378
Horsethief_JRD503	6	2	-112.92857	51.50378
Horsethief_JRD504	6	2	-112.92857	51.50378
Horsethief_JRD505	6	2	-112.92857	51.50378
Horsethief_JRD512	6	2	-112.92857	51.50378
Horsethief_JRD515	6	2	-112.92857	51.50378
Horsethief_JRD646	6	2	-112.92857	51.50378
Horsethief_JRD651	6	2	-112.92857	51.50378
Horsethief_JRD652	6	2	-112.92857	51.50378
Horsethief_JRD727	6	2	-112.92857	51.50378
Horsethief_JRD730	6	2	-112.92857	51.50378
Horsethief_JRD733	6	2	-112.92857	51.50378
Horsethief_JRD736	6	2	-112.92857	51.50378
Horsethief_JRD738	6	2	-112.92857	51.50378
Lousana_JRD264	7	2	-113.00907	52.07838
Lousana_JRD277	7	2	-113.00907	52.07838
Lousana_JRD281	7	2	-113.00907	52.07838
Lousana_JRD287	7	2	-113.00907	52.07838
Lousana_JRD288	7	2	-113.00907	52.07838
Lousana_JRD292	7	2	-113.00907	52.07838
Lousana_JRD293	7	2	-113.00907	52.07838
Lousana_JRD487	7	2	-113.00907	52.07838
Lousana_JRD497	7	2	-113.00907	52.07838
Lousana_JRD499	7	2	-113.00907	52.07838
Lousana_JRD500	7	2	-113.00907	52.07838
Lousana_JRD508	7	2	-113.00907	52.07838
Lousana_JRD509	7	2	-113.00907	52.07838
Lousana_JRD510	7	2	-113.00907	52.07838
Lousana_JRD511	7	2	-113.00907	52.07838
Lousana_JRD513	7	2	-113.00907	52.07838
Lousana_JRD516	7	2	-113.00907	52.07838
Lousana_JRD518	7	2	-113.00907	52.07838
Lousana_JRD520	7	2	-113.00907	52.07838
Lousana_JRD521	7	2	-113.00907	52.07838
Lousana_JRD734	7	2	-113.00907	52.07838
Lousana_JRD739	7	2	-113.00907	52.07838
Lousana_JRD740	7	2	-113.00907	52.07838
Lousana_JRD743	7	2	-113.00907	52.07838
Lousana_JRD744	7	2	-113.00907	52.07838
Lousana_JRD745	7	2	-113.00907	52.07838
Lousana_JRD747	7	2	-113.00907	52.07838
Lousana_JRD748	7	2	-113.00907	52.07838
Lousana_JRD750	7	2	-113.00907	52.07838
Lousana_JRD751	7	2	-113.00907	52.07838
Lousana_JRD752	7	2	-113.00907	52.07838
Lousana_JRD754	7	2	-113.00907	52.07838
Lousana_JRD848	7	2	-113.00907	52.07838
Morrin_JRD245	8	2	-112.92085	51.64462
Morrin_JRD246	8	2	-112.92085	51.64462
Morrin_JRD247	8	2	-112.92085	51.64462
Morrin_JRD248	8	2	-112.92085	51.64462
Morrin_JRD250	8	2	-112.92085	51.64462
Morrin_JRD251	8	2	-112.92085	51.64462
Morrin_JRD252	8	2	-112.92085	51.64462
Morrin_JRD253	8	2	-112.92085	51.64462
Morrin_JRD258	8	2	-112.92085	51.64462
Morrin_JRD261	8	2	-112.92085	51.64462
Morrin_JRD262	8	2	-112.92085	51.64462
Morrin_JRD266	8	2	-112.92085	51.64462
Morrin_JRD272	8	2	-112.92085	51.64462
Morrin_JRD273	8	2	-112.92085	51.64462
Morrin_JRD274	8	2	-112.92085	51.64462
Morrin_JRD280	8	2	-112.92085	51.64462
Morrin_JRD289	8	2	-112.92085	51.64462
Morrin_JRD522	8	2	-112.92085	51.64462
Morrin_JRD649	8	2	-112.92085	51.64462
Morrin_JRD650	8	2	-112.92085	51.64462
Morrin_JRD737	8	2	-112.92085	51.64462
Morrin_JRD742	8	2	-112.92085	51.64462
Ndrum_JRD001	9	2	-112.70495	51.47276
Ndrum_JRD002	9	2	-112.70495	51.47276
Ndrum_JRD019	9	2	-112.70495	51.47276
Ndrum_JRD020	9	2	-112.70495	51.47276
Ndrum_JRD021	9	2	-112.70495	51.47276
Ndrum_JRD222	9	2	-112.70495	51.47276
Ndrum_JRD223	9	2	-112.70495	51.47276
Ndrum_JRD224	9	2	-112.70495	51.47276
Ndrum_JRD225	9	2	-112.70495	51.47276
Ndrum_JRD226	9	2	-112.70495	51.47276
Ndrum_JRD227	9	2	-112.70495	51.47276
Ndrum_JRD228	9	2	-112.70495	51.47276
Ndrum_JRD229	9	2	-112.70495	51.47276
Ndrum_JRD230	9	2	-112.70495	51.47276
Ndrum_JRD231	9	2	-112.70495	51.47276
Ndrum_JRD232	9	2	-112.70495	51.47276
Ndrum_JRD233	9	2	-112.70495	51.47276
Ndrum_JRD234	9	2	-112.70495	51.47276
Ndrum_JRD235	9	2	-112.70495	51.47276
Ndrum_JRD236	9	2	-112.70495	51.47276
Ndrum_JRD311	9	2	-112.70495	51.47276
Ndrum_JRD312	9	2	-112.70495	51.47276
Orkney_JRD260	10	2	-112.89692	51.54887
Orkney_JRD265	10	2	-112.89692	51.54887
Orkney_JRD270	10	2	-112.89692	51.54887
Orkney_JRD271	10	2	-112.89692	51.54887
Orkney_JRD279	10	2	-112.89692	51.54887
Orkney_JRD282	10	2	-112.89692	51.54887
Orkney_JRD283	10	2	-112.89692	51.54887
Orkney_JRD284	10	2	-112.89692	51.54887
Orkney_JRD290	10	2	-112.89692	51.54887
Orkney_JRD291	10	2	-112.89692	51.54887
Orkney_JRD514	10	2	-112.89692	51.54887
Orkney_JRD519	10	2	-112.89692	51.54887
Orkney_JRD647	10	2	-112.89692	51.54887
Orkney_JRD648	10	2	-112.89692	51.54887
Orkney_JRD746	10	2	-112.89692	51.54887
Orkney_JRD749	10	2	-112.89692	51.54887
Tolman_JRD209	11	2	-113.00796	51.84258
Tolman_JRD210	11	2	-113.00796	51.84258
Tolman_JRD211	11	2	-113.00796	51.84258
Tolman_JRD212	11	2	-113.00796	51.84258
Tolman_JRD213	11	2	-113.00796	51.84258
Tolman_JRD214	11	2	-113.00796	51.84258
Tolman_JRD215	11	2	-113.00796	51.84258
Tolman_JRD216	11	2	-113.00796	51.84258
Tolman_JRD217	11	2	-113.00796	51.84258
Tolman_JRD218	11	2	-113.00796	51.84258
Tolman_JRD219	11	2	-113.00796	51.84258
Tolman_JRD220	11	2	-113.00796	51.84258
Tolman_JRD221	11	2	-113.00796	51.84258
Tolman_JRD268	11	2	-113.00796	51.84258
Tolman_JRD285	11	2	-113.00796	51.84258
Tolman_JRD286	11	2	-113.00796	51.84258
Tolman_JRD485	11	2	-113.00796	51.84258
Tolman_JRD486	11	2	-113.00796	51.84258
Tolman_JRD491	11	2	-113.00796	51.84258
Tolman_JRD492	11	2	-113.00796	51.84258
Tolman_JRD507	11	2	-113.00796	51.84258
Tolman_JRD517	11	2	-113.00796	51.84258
Tolman_JRD728	11	2	-113.00796	51.84258
Tolman_JRD729	11	2	-113.00796	51.84258
Tolman_JRD732	11	2	-113.00796	51.84258
Tolman_JRD735	11	2	-113.00796	51.84258
Tolman_JRD741	11	2	-113.00796	51.84258
Tolman_JRD847	11	2	-113.00796	51.84258
Antler_JRD012	12	3	-113.89374	52.06313
Antler_JRD013	12	3	-113.89374	52.06313
Antler_JRD014	12	3	-113.89374	52.06313
Antler_JRD015	12	3	-113.89374	52.06313
Antler_JRD016	12	3	-113.89374	52.06313
Antler_JRD017	12	3	-113.89374	52.06313
Antler_JRD018	12	3	-113.89374	52.06313
Antler_JRD549	12	3	-113.89374	52.06313
Antler_JRD550	12	3	-113.89374	52.06313
Antler_JRD551	12	3	-113.89374	52.06313
Antler_JRD552	12	3	-113.89374	52.06313
Antler_JRD553	12	3	-113.89374	52.06313
Antler_JRD554	12	3	-113.89374	52.06313
Antler_JRD555	12	3	-113.89374	52.06313
Antler_JRD556	12	3	-113.89374	52.06313
BgCkSki_JRD395	13	3	-114.58286	50.98175
BgCkSki_JRD396	13	3	-114.58286	50.98175
BgCkSki_JRD397	13	3	-114.58286	50.98175
BgCkSki_JRD398	13	3	-114.58286	50.98175
BgCkSki_JRD399	13	3	-114.58286	50.98175
BgCkSki_JRD442	13	3	-114.58286	50.98175
BgCkSki_JRD444	13	3	-114.58286	50.98175
BgCkSki_JRD445	13	3	-114.58286	50.98175
BgCkSki_JRD714	13	3	-114.58286	50.98175
BgCkSki_JRD782	13	3	-114.58286	50.98175
BgCkSki_JRD783	13	3	-114.58286	50.98175
BgCkSki_JRD784	13	3	-114.58286	50.98175
BgCkSki_JRD786	13	3	-114.58286	50.98175
BgCkSki_JRD789	13	3	-114.58286	50.98175
Buck_JRD003	14	3	-114.73961	53.05209
Buck_JRD004	14	3	-114.73961	53.05209
Buck_JRD005	14	3	-114.73961	53.05209
Buck_JRD006	14	3	-114.73961	53.05209
Buck_JRD007	14	3	-114.73961	53.05209
Buck_JRD008	14	3	-114.73961	53.05209
Buck_JRD009	14	3	-114.73961	53.05209
Buck_JRD010	14	3	-114.73961	53.05209
Buck_JRD011	14	3	-114.73961	53.05209
Buck_JRD022	14	3	-114.73961	53.05209
Buck_JRD023	14	3	-114.73961	53.05209
Buck_JRD024	14	3	-114.73961	53.05209
Buck_JRD025	14	3	-114.73961	53.05209
Buck_JRD026	14	3	-114.73961	53.05209
Buck_JRD027	14	3	-114.73961	53.05209
Buck_JRD028	14	3	-114.73961	53.05209
Buck_JRD029	14	3	-114.73961	53.05209
Buck_JRD030	14	3	-114.73961	53.05209
Buck_JRD031	14	3	-114.73961	53.05209
Buck_JRD032	14	3	-114.73961	53.05209
Buck_JRD033	14	3	-114.73961	53.05209
Buck_JRD034	14	3	-114.73961	53.05209
Buck_JRD102	14	3	-114.73961	53.05209
Buck_JRD103	14	3	-114.73961	53.05209
Buck_JRD104	14	3	-114.73961	53.05209
Buck_JRD105	14	3	-114.73961	53.05209
Buck_JRD106	14	3	-114.73961	53.05209
Buck_JRD238	14	3	-114.73961	53.05209
Buck_JRD239	14	3	-114.73961	53.05209
Buck_JRD240	14	3	-114.73961	53.05209
Buck_JRD241	14	3	-114.73961	53.05209
Buck_JRD242	14	3	-114.73961	53.05209
Buck_JRD243	14	3	-114.73961	53.05209
Buck_JRD244	14	3	-114.73961	53.05209
Buck_JRD321	14	3	-114.73961	53.05209
Buck_JRD322	14	3	-114.73961	53.05209
Buck_JRD323	14	3	-114.73961	53.05209
Buck_JRD324	14	3	-114.73961	53.05209
Buck_JRD325	14	3	-114.73961	53.05209
Buck_JRD326	14	3	-114.73961	53.05209
Buck_JRD327	14	3	-114.73961	53.05209
Buck_JRD328	14	3	-114.73961	53.05209
Buck_JRD329	14	3	-114.73961	53.05209
Buck_JRD330	14	3	-114.73961	53.05209
Buck_JRD331	14	3	-114.73961	53.05209
Buck_JRD332	14	3	-114.73961	53.05209
Buck_JRD333	14	3	-114.73961	53.05209
Buck_JRD334	14	3	-114.73961	53.05209
Buck_JRD523	14	3	-114.73961	53.05209
Buck_JRD653	14	3	-114.73961	53.05209
Buck_JRD654	14	3	-114.73961	53.05209
Buck_JRD655	14	3	-114.73961	53.05209
Buck_JRD656	14	3	-114.73961	53.05209
Buck_JRD657	14	3	-114.73961	53.05209
Buck_JRD658	14	3	-114.73961	53.05209
Buck_JRD659	14	3	-114.73961	53.05209
Buck_JRD660	14	3	-114.73961	53.05209
Buck_JRD661	14	3	-114.73961	53.05209
Buck_JRD662	14	3	-114.73961	53.05209
Buck_JRD663	14	3	-114.73961	53.05209
Buck_JRD664	14	3	-114.73961	53.05209
Buck_JRD665	14	3	-114.73961	53.05209
Buck_JRD666	14	3	-114.73961	53.05209
Buck_JRD667	14	3	-114.73961	53.05209
Buck_JRD668	14	3	-114.73961	53.05209
Buck_JRD688	14	3	-114.73961	53.05209
Buck_JRD689	14	3	-114.73961	53.05209
Buck_JRD690	14	3	-114.73961	53.05209
Buck_JRD691	14	3	-114.73961	53.05209
Buck_JRD692	14	3	-114.73961	53.05209
Buck_JRD693	14	3	-114.73961	53.05209
Buck_JRD694	14	3	-114.73961	53.05209
Buck_JRD695	14	3	-114.73961	53.05209
Buck_JRD696	14	3	-114.73961	53.05209
Buck_JRD697	14	3	-114.73961	53.05209
Buck_JRD698	14	3	-114.73961	53.05209
Buck_JRD699	14	3	-114.73961	53.05209
Buck_JRD802	14	3	-114.73961	53.05209
Buck_JRD803	14	3	-114.73961	53.05209
Buck_JRD804	14	3	-114.73961	53.05209
Buck_JRD805	14	3	-114.73961	53.05209
Buck_JRD806	14	3	-114.73961	53.05209
Fish_JRD037	15	3	-114.53558	50.91694
Fish_JRD038	15	3	-114.53558	50.91694
Fish_JRD039	15	3	-114.53558	50.91694
Fish_JRD386	15	3	-114.53558	50.91694
Fish_JRD387	15	3	-114.53558	50.91694
Fish_JRD388	15	3	-114.53558	50.91694
Fish_JRD389	15	3	-114.53558	50.91694
Fish_JRD390	15	3	-114.53558	50.91694
Fish_JRD391	15	3	-114.53558	50.91694
Fish_JRD392	15	3	-114.53558	50.91694
Fish_JRD393	15	3	-114.53558	50.91694
Fish_JRD394	15	3	-114.53558	50.91694
Fish_JRD581	15	3	-114.53558	50.91694
Fish_JRD582	15	3	-114.53558	50.91694
Fish_JRD583	15	3	-114.53558	50.91694
Fish_JRD584	15	3	-114.53558	50.91694
Fish_JRD585	15	3	-114.53558	50.91694
Fish_JRD675	15	3	-114.53558	50.91694
Fish_JRD676	15	3	-114.53558	50.91694
Fish_JRD677	15	3	-114.53558	50.91694
Fish_JRD678	15	3	-114.53558	50.91694
Fish_JRD679	15	3	-114.53558	50.91694
Fish_JRD680	15	3	-114.53558	50.91694
Fish_JRD681	15	3	-114.53558	50.91694
Fish_JRD682	15	3	-114.53558	50.91694
Fish_JRD683	15	3	-114.53558	50.91694
Fish_JRD684	15	3	-114.53558	50.91694
Fish_JRD685	15	3	-114.53558	50.91694
Fish_JRD686	15	3	-114.53558	50.91694
Fish_JRD687	15	3	-114.53558	50.91694
Fish_JRD700	15	3	-114.53558	50.91694
Jumpingpound_JRD631	16	3	-114.9073	50.95052
Jumpingpound_JRD632	16	3	-114.9073	50.95052
Jumpingpound_JRD633	16	3	-114.9073	50.95052
Jumpingpound_JRD634	16	3	-114.9073	50.95052
Jumpingpound_JRD635	16	3	-114.9073	50.95052
Jumpingpound_JRD636	16	3	-114.9073	50.95052
Jumpingpound_JRD637	16	3	-114.9073	50.95052
Jumpingpound_JRD638	16	3	-114.9073	50.95052
Jumpingpound_JRD639	16	3	-114.9073	50.95052
Medicine_JRD776	19	3	-114.24826	52.45458
Medicine_JRD777	19	3	-114.24826	52.45458
Medicine_JRD778	19	3	-114.24826	52.45458
Medicine_JRD779	19	3	-114.24826	52.45458
Medicine_JRD788	19	3	-114.24826	52.45458
Medicine_JRD862	19	3	-114.24826	52.45458
Medicine_JRD863	19	3	-114.24826	52.45458
Medicine_JRD864	19	3	-114.24826	52.45458
Mesa_JRD400	20	3	-114.56134	50.78071
Mesa_JRD401	20	3	-114.56134	50.78071
Mesa_JRD447	20	3	-114.56134	50.78071
Mesa_JRD780	20	3	-114.56134	50.78071
Mesa_JRD785	20	3	-114.56134	50.78071
Mesa_JRD791	20	3	-114.56134	50.78071
Mesa_JRD866	20	3	-114.56134	50.78071
Mesa_JRD871	20	3	-114.56134	50.78071
Powderface_JRD205	22	3	-114.84863	50.84316
Powderface_JRD237	22	3	-114.84863	50.84316
Powderface_JRD640	22	3	-114.84863	50.84316
Powderface_JRD641	22	3	-114.84863	50.84316
Powderface_JRD642	22	3	-114.84863	50.84316
Powderface_JRD643	22	3	-114.84863	50.84316
Powderface_JRD644	22	3	-114.84863	50.84316
Powderface_JRD645	22	3	-114.84863	50.84316
Shunda_JRD193	24	3	-116.1261	52.53151
Shunda_JRD194	24	3	-116.1261	52.53151
Shunda_JRD195	24	3	-116.1261	52.53151
Shunda_JRD196	24	3	-116.1261	52.53151
Shunda_JRD197	24	3	-116.1261	52.53151
Shunda_JRD206	24	3	-116.1261	52.53151
Shunda_JRD207	24	3	-116.1261	52.53151
Shunda_JRD198	24	3	-116.1261	52.53151
Shunda_JRD199	24	3	-116.1261	52.53151
Shunda_JRD200	24	3	-116.1261	52.53151
Shunda_JRD201	24	3	-116.1261	52.53151
Shunda_JRD202	24	3	-116.1261	52.53151
Shunda_JRD203	24	3	-116.1261	52.53151
Wildcat_JRD437	26	3	-114.67019	51.28311
Wildcat_JRD438	26	3	-114.67019	51.28311
Wildcat_JRD439	26	3	-114.67019	51.28311
Wildcat_JRD440	26	3	-114.67019	51.28311
Wildcat_JRD441	26	3	-114.67019	51.28311
Wildcat_JRD443	26	3	-114.67019	51.28311
Wildcat_JRD446	26	3	-114.67019	51.28311
Wildcat_JRD448	26	3	-114.67019	51.28311
Wildcat_JRD713	26	3	-114.67019	51.28311
Wildcat_JRD753	26	3	-114.67019	51.28311
Wildcat_JRD787	26	3	-114.67019	51.28311
Wildcat_JRD865	26	3	-114.67019	51.28311
Enilda_JRD335	27	4	-116.19717	55.31975
Enilda_JRD337	27	4	-116.19717	55.31975
Enilda_JRD338	27	4	-116.19717	55.31975
Enilda_JRD339	27	4	-116.19717	55.31975
Enilda_JRD340	27	4	-116.19717	55.31975
Enilda_JRD341	27	4	-116.19717	55.31975
Enilda_JRD342	27	4	-116.19717	55.31975
Enilda_JRD343	27	4	-116.19717	55.31975
Enilda_JRD344	27	4	-116.19717	55.31975
Enilda_JRD345	27	4	-116.19717	55.31975
Enilda_JRD346	27	4	-116.19717	55.31975
Enilda_JRD347	27	4	-116.19717	55.31975
Enilda_JRD348	27	4	-116.19717	55.31975
Enilda_JRD349	27	4	-116.19717	55.31975
Enilda_JRD350	27	4	-116.19717	55.31975
Enilda_JRD351	27	4	-116.19717	55.31975
Enilda_JRD352	27	4	-116.19717	55.31975
Enilda_JRD353	27	4	-116.19717	55.31975
Enilda_JRD354	27	4	-116.19717	55.31975
Enilda_JRD355	27	4	-116.19717	55.31975
Goose_JRD076	30	4	-116.03276	54.75171
Goose_JRD077	30	4	-116.03276	54.75171
Goose_JRD078	30	4	-116.03276	54.75171
Goose_JRD079	30	4	-116.03276	54.75171
Goose_JRD080	30	4	-116.03276	54.75171
Goose_JRD081	30	4	-116.03276	54.75171
Goose_JRD082	30	4	-116.03276	54.75171
Goose_JRD083	30	4	-116.03276	54.75171
Goose_JRD084	30	4	-116.03276	54.75171
Goose_JRD085	30	4	-116.03276	54.75171
Goose_JRD086	30	4	-116.03276	54.75171
Goose_JRD087	30	4	-116.03276	54.75171
Goose_JRD088	30	4	-116.03276	54.75171
Goose_JRD089	30	4	-116.03276	54.75171
Goose_JRD090	30	4	-116.03276	54.75171
Goose_JRD091	30	4	-116.03276	54.75171
Goose_JRD092	30	4	-116.03276	54.75171
Goose_JRD093	30	4	-116.03276	54.75171
Goose_JRD094	30	4	-116.03276	54.75171
Goose_JRD095	30	4	-116.03276	54.75171
Goose_JRD096	30	4	-116.03276	54.75171
Goose_JRD097	30	4	-116.03276	54.75171
Goose_JRD098	30	4	-116.03276	54.75171
Goose_JRD099	30	4	-116.03276	54.75171
Goose_JRD100	30	4	-116.03276	54.75171
Goose_JRD101	30	4	-116.03276	54.75171
House_JRD059	31	4	-115.59475	55.04839
House_JRD060	31	4	-115.59475	55.04839
House_JRD061	31	4	-115.59475	55.04839
House_JRD062	31	4	-115.59475	55.04839
House_JRD063	31	4	-115.59475	55.04839
House_JRD064	31	4	-115.59475	55.04839
House_JRD065	31	4	-115.59475	55.04839
House_JRD066	31	4	-115.59475	55.04839
House_JRD067	31	4	-115.59475	55.04839
House_JRD068	31	4	-115.59475	55.04839
House_JRD069	31	4	-115.59475	55.04839
House_JRD070	31	4	-115.59475	55.04839
House_JRD071	31	4	-115.59475	55.04839
House_JRD072	31	4	-115.59475	55.04839
House_JRD073	31	4	-115.59475	55.04839
House_JRD074	31	4	-115.59475	55.04839
House_JRD075	31	4	-115.59475	55.04839
Marten_JRD035	32	4	-114.78509	55.47031
Marten_JRD036	32	4	-114.78509	55.47031
Marten_JRD040	32	4	-114.78509	55.47031
Marten_JRD041	32	4	-114.78509	55.47031
Marten_JRD042	32	4	-114.78509	55.47031
Marten_JRD043	32	4	-114.78509	55.47031
Marten_JRD044	32	4	-114.78509	55.47031
Marten_JRD045	32	4	-114.78509	55.47031
Marten_JRD046	32	4	-114.78509	55.47031
Marten_JRD047	32	4	-114.78509	55.47031
Marten_JRD048	32	4	-114.78509	55.47031
Marten_JRD049	32	4	-114.78509	55.47031
Marten_JRD050	32	4	-114.78509	55.47031
Marten_JRD051	32	4	-114.78509	55.47031
Marten_JRD052	32	4	-114.78509	55.47031
Marten_JRD053	32	4	-114.78509	55.47031
Pushwaskau_JRD356	33	4	-117.493	55.21875
Pushwaskau_JRD357	33	4	-117.493	55.21875
Pushwaskau_JRD358	33	4	-117.493	55.21875
Pushwaskau_JRD359	33	4	-117.493	55.21875
Pushwaskau_JRD360	33	4	-117.493	55.21875
Pushwaskau_JRD361	33	4	-117.493	55.21875
Pushwaskau_JRD362	33	4	-117.493	55.21875
Pushwaskau_JRD363	33	4	-117.493	55.21875
Pushwaskau_JRD364	33	4	-117.493	55.21875
Pushwaskau_JRD365	33	4	-117.493	55.21875
Pushwaskau_JRD366	33	4	-117.493	55.21875
Pushwaskau_JRD367	33	4	-117.493	55.21875
Pushwaskau_JRD368	33	4	-117.493	55.21875
Pushwaskau_JRD369	33	4	-117.493	55.21875
Pushwaskau_JRD370	33	4	-117.493	55.21875
Pushwaskau_JRD371	33	4	-117.493	55.21875
Pushwaskau_JRD372	33	4	-117.493	55.21875
Pushwaskau_JRD417	33	4	-117.493	55.21875
Sweathouse_JRD373	34	4	-116.75206	54.89917
Sweathouse_JRD374	34	4	-116.75206	54.89917
Sweathouse_JRD375	34	4	-116.75206	54.89917
Sweathouse_JRD376	34	4	-116.75206	54.89917
Sweathouse_JRD377	34	4	-116.75206	54.89917
Sweathouse_JRD378	34	4	-116.75206	54.89917
Sweathouse_JRD379	34	4	-116.75206	54.89917
Sweathouse_JRD380	34	4	-116.75206	54.89917
Sweathouse_JRD381	34	4	-116.75206	54.89917
Sweathouse_JRD382	34	4	-116.75206	54.89917
Sweathouse_JRD383	34	4	-116.75206	54.89917
Sweathouse_JRD384	34	4	-116.75206	54.89917
Sweathouse_JRD385	34	4	-116.75206	54.89917
Whitecourt_JRD586	35	4	-115.72055	54.03232
Whitecourt_JRD587	35	4	-115.72055	54.03232
Whitecourt_JRD588	35	4	-115.72055	54.03232
Whitecourt_JRD589	35	4	-115.72055	54.03232
Whitecourt_JRD590	35	4	-115.72055	54.03232
Whitecourt_JRD591	35	4	-115.72055	54.03232
Whitecourt_JRD755	35	4	-115.72055	54.03232
Whitecourt_JRD756	35	4	-115.72055	54.03232
Whitecourt_JRD757	35	4	-115.72055	54.03232
Whitecourt_JRD758	35	4	-115.72055	54.03232
Whitecourt_JRD759	35	4	-115.72055	54.03232
Whitecourt_JRD849	35	4	-115.72055	54.03232
Whitecourt_JRD850	35	4	-115.72055	54.03232
Whitecourt_JRD851	35	4	-115.72055	54.03232
Beatton_JRD451	36	5	-120.67391	56.27525
Beatton_JRD455	36	5	-120.67391	56.27525
Beatton_JRD456	36	5	-120.67391	56.27525
Beatton_JRD457	36	5	-120.67391	56.27525
Beatton_JRD463	36	5	-120.67391	56.27525
Beatton_JRD471	36	5	-120.67391	56.27525
Beatton_JRD475	36	5	-120.67391	56.27525
Beatton_JRD483	36	5	-120.67391	56.27525
Beatton_JRD717	36	5	-120.67391	56.27525
Beatton_JRD724	36	5	-120.67391	56.27525
Beatton_JRD725	36	5	-120.67391	56.27525
