ind	pop	global
Senegal_Casamance_6285	Senegal	Africa
Senegal_Casamance_6286	Senegal	Africa
Senegal_Casamance_6288	Senegal	Africa
Senegal_Casamance_6289	Senegal	Africa
Senegal_Casamance_6290	Senegal	Africa
Senegal_Casamance_6292	Senegal	Africa
Senegal_Casamance_6293	Senegal	Africa
Senegal_Casamance_6294	Senegal	Africa
Senegal_Casamance_6295	Senegal	Africa
Senegal_Casamance_6296	Senegal	Africa
Senegal_Casamance_6297	Senegal	Africa
Senegal_Casamance_6298	Senegal	Africa
Senegal_Casamance_6299	Senegal	Africa
Senegal_Casamance_6300	Senegal	Africa
Senegal_Casamance_6301	Senegal	Africa
Senegal_Casamance_6302	Senegal	Africa
Senegal_Casamance_6303	Senegal	Africa
Senegal_Casamance_6304	Senegal	Africa
Senegal_Casamance_6305	Senegal	Africa
Hawaii_Oahu_6307	Hawaii	Hawaii
Hawaii_Oahu_6322	Hawaii	Hawaii
Hawaii_Oahu_6323	Hawaii	Hawaii
Hawaii_Oahu_6324	Hawaii	Hawaii
Hawaii_Oahu_6333	Hawaii	Hawaii
Hawaii_Oahu_6338	Hawaii	Hawaii
Hawaii_Oahu_6341	Hawaii	Hawaii
Hawaii_Oahu_6346	Hawaii	Hawaii
Hawaii_Oahu_6352	Hawaii	Hawaii
Hawaii_Oahu_6363	Hawaii	Hawaii
Laos_LuangNamTha_6371	Laos	SE_Asia
Laos_LuangNamTha_6374	Laos	SE_Asia
Laos_LuangNamTha_6375	Laos	SE_Asia
Laos_LuangNamTha_6376	Laos	SE_Asia
Laos_LuangNamTha_6377	Laos	SE_Asia
Laos_LuangNamTha_6378	Laos	SE_Asia
Laos_LuangNamTha_6379	Laos	SE_Asia
Laos_LuangNamTha_6380	Laos	SE_Asia
Laos_LuangNamTha_6381	Laos	SE_Asia
Cambodia_KrongKohKong_6382	Cambodia	SE_Asia
Cambodia_KrongKohKong_6383	Cambodia	SE_Asia
Cambodia_KrongKohKong_6384	Cambodia	SE_Asia
Cambodia_KrongKohKong_6385	Cambodia	SE_Asia
Thailand_ChiangMai_6390	Thailand	SE_Asia
Thailand_ChiangMai_6392	Thailand	SE_Asia
Thailand_ChiangMai_6393	Thailand	SE_Asia
Thailand_ChiangMai_6394	Thailand	SE_Asia
Thailand_ChiangMai_6395	Thailand	SE_Asia
Thailand_ChiangMai_6396	Thailand	SE_Asia
Thailand_ChiangMai_6397	Thailand	SE_Asia
Thailand_ChiangMai_6398	Thailand	SE_Asia
Thailand_ChiangMai_6399	Thailand	SE_Asia
Thailand_ChiangMai_6400	Thailand	SE_Asia
Philippines_6448	Philippines	SE_Asia
Philippines_6449	Philippines	SE_Asia
Philippines_6450	Philippines	SE_Asia
Hawaii_Hawaii_6460	Hawaii	Hawaii
Hawaii_Hawaii_6461	Hawaii	Hawaii
Hawaii_Hawaii_6463	Hawaii	Hawaii
Hawaii_Hawaii_6487	Hawaii	Hawaii
Hawaii_Maui_6531	Hawaii	Hawaii
Hawaii_Maui_6549	Hawaii	Hawaii
Hawaii_Maui_6550	Hawaii	Hawaii
Hawaii_Maui_6557	Hawaii	Hawaii
Hawaii_Maui_6559	Hawaii	Hawaii
Hawaii_Maui_6563	Hawaii	Hawaii
Hawaii_Maui_6565	Hawaii	Hawaii
Hawaii_Kahoolawe_6568	Hawaii	Hawaii
Tanzania_6573	Tanzania	Africa
Tanzania_6579	Tanzania	Africa
Tanzania_6580	Tanzania	Africa
Tanzania_6581	Tanzania	Africa
Tanzania_6583	Tanzania	Africa
Tanzania_6588	Tanzania	Africa
Tanzania_6589	Tanzania	Africa
Tanzania_6593	Tanzania	Africa
Hawaii_Kauai_6601	Hawaii	Hawaii
Hawaii_Kauai_6604	Hawaii	Hawaii
Hawaii_Kauai_6615	Hawaii	Hawaii
Hawaii_Kauai_6625	Hawaii	Hawaii
Hawaii_Kauai_6637	Hawaii	Hawaii
Hawaii_Kauai_6643	Hawaii	Hawaii
Hawaii_Kauai_6645	Hawaii	Hawaii
Hawaii_Kauai_6646	Hawaii	Hawaii
Hawaii_Kauai_6648	Hawaii	Hawaii
Bangladesh_DhakaInstituteofNuclearScience&Technology_6661	Bangladesh	SE_Asia
Bangladesh_DhakaInstituteofNuclearScience&Technology_6662	Bangladesh	SE_Asia
Bangladesh_DhakaInstituteofNuclearScience&Technology_6663	Bangladesh	SE_Asia
Thailand_6681	Thailand	SE_Asia
China_Jinghong_6683	China	SE_Asia
China_Nanning_6689	China	SE_Asia
China_Nanning_6690	China	SE_Asia
China_Nanning_6691	China	SE_Asia
China_Nanning_6692	China	SE_Asia
China_Nanning_6693	China	SE_Asia
China_Nanning_6694	China	SE_Asia
China_Nanning_6695	China	SE_Asia
Bangladesh_ChapaiNawabgonjDistrictRegionalHorticulturalResearchCenterCampus_6699	Bangladesh	SE_Asia
Bangladesh_BhawalNationalParkGazipurDistrict_6705	Bangladesh	SE_Asia
Bangladesh_MadhupurNationalParkTangaildistrict_6710	Bangladesh	SE_Asia
Bangladesh_MadhupurNationalParkTangaildistrict_6711	Bangladesh	SE_Asia
Bangladesh_ShibpurUpazilaNarsingdiDistrict_6725	Bangladesh	SE_Asia
Bangladesh_ShibpurUpazilaNarsingdiDistrict_6726	Bangladesh	SE_Asia
Bangladesh_ShibpurUpazilaNarsingdiDistrict_6727	Bangladesh	SE_Asia
Bangladesh_BahubolUpazilaHabigonjDistrict_6778	Bangladesh	SE_Asia
Taiwan_6790	Taiwan	SE_Asia
Bangladesh_KurigramSadarUpazilaKurigramDistrict_6814	Bangladesh	SE_Asia
Bangladesh_LalmonirhatSadarUpazilaLalmonirhatDistrict_6817	Bangladesh	SE_Asia
Bangladesh_LalmonirhatSadarUpazilaLalmonirhatDistrict_6818	Bangladesh	SE_Asia
Bangladesh_PolasbariUpazilaGaibandhaDistrict_6824	Bangladesh	SE_Asia
Bangladesh_PolasbariUpazilaGaibandhaDistrict_6825	Bangladesh	SE_Asia
Hawaii_Hawaii_6848	Hawaii	Hawaii
Hawaii_Hawaii_6849	Hawaii	Hawaii
Hawaii_Hawaii_6851	Hawaii	Hawaii
Hawaii_Hawaii_6852	Hawaii	Hawaii
Hawaii_Hawaii_6853	Hawaii	Hawaii
Hawaii_Hawaii_6857	Hawaii	Hawaii
Hawaii_Hawaii_6864	Hawaii	Hawaii
Bangladesh_DinajpurDistrictRamsagarNationalPark_6901	Bangladesh	SE_Asia
Bangladesh_DinajpurDistrictRamsagarNationalPark_6902	Bangladesh	SE_Asia
Bangladesh_GopalgonjDistrictTungiparaUpazila_6941	Bangladesh	SE_Asia
Bangladesh_RajbariDistrictRajbariSadarUpazila_6946	Bangladesh	SE_Asia
Bangladesh_RajbariDistrictRajbariSadarUpazila_6947	Bangladesh	SE_Asia
Bangladesh_MymensingDistrictMymensingMedicalCollegeHospitalcampus_6960	Bangladesh	SE_Asia
Bangladesh_SherpurDistrictSherpurSadarUpazila_6964	Bangladesh	SE_Asia
Bangladesh_KishorgonjDistrictTarailUpazila_6970	Bangladesh	SE_Asia
Bangladesh_KishorgonjDistrictTarailUpazila_6972	Bangladesh	SE_Asia
Bangladesh_JoypurhatDistrictJoypurhatSadarUpazila_6998	Bangladesh	SE_Asia
Bangladesh_JoypurhatDistrictJoypurhatSadarUpazila_6999	Bangladesh	SE_Asia
Bangladesh_JoypurhatDistrictJoypurhatSadarUpazila_7000	Bangladesh	SE_Asia
Bangladesh_BograDistrictShibgonjupazila_7001	Bangladesh	SE_Asia
Bangladesh_BograDistrictShibgonjupazila_7006	Bangladesh	SE_Asia
Taiwan_NantouCoJijiTownship_7010	Taiwan	SE_Asia
Taiwan_NantouCoJijiTownship_7012	Taiwan	SE_Asia
Taiwan_ChaiyiCoroadbetweenChaiyiandAlishan_7014	Taiwan	SE_Asia
Taiwan_ChaiyiCoroadbetweenChaiyiandAlishan_7015	Taiwan	SE_Asia
Taiwan_PingtungCoKentingNationalPark_7016	Taiwan	SE_Asia
Taiwan_PingtungCoKentingNationalPark_7017	Taiwan	SE_Asia
